"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"경상남도",1.409,1.437,1.358,1.227,1.122,1.046,0.945,0.903,0.838
"창원시",-,-,-,-,-,-,-,-,-
"마산시",-,-,-,-,-,-,-,-,-
"합포구",-,-,-,-,-,-,-,-,-
"회원구",-,-,-,-,-,-,-,-,-
"진주시",1.298,1.290,1.268,1.139,1.097,1.010,0.942,0.912,0.944
"진해시",-,-,-,-,-,-,-,-,-
"통영시",1.459,1.484,1.328,1.137,0.928,0.836,0.776,0.764,0.759
"사천시",1.479,1.518,1.451,1.298,1.135,0.974,1.068,1.002,0.999
"김해시",1.473,1.495,1.403,1.234,1.082,1.083,0.952,0.909,0.842
"밀양시",1.119,1.268,1.343,1.360,1.063,1.104,0.941,0.902,0.873
"거제시",1.847,1.911,1.773,1.524,1.255,1.061,1.015,0.909,0.779
"양산시",1.466,1.504,1.401,1.376,1.331,1.178,1.066,0.960,0.822
"창원시",1.314,1.345,1.261,1.141,1.087,1.009,0.895,0.887,0.824
"의창구",1.298,1.375,1.230,1.136,1.084,1.041,0.963,0.914,0.826
"성산구",1.382,1.327,1.229,1.077,1.097,0.956,0.815,0.820,0.780
"마산합포구",1.209,1.241,1.190,1.109,1.058,1.012,0.793,0.952,0.873
"마산회원구",1.181,1.208,1.127,1.007,0.890,0.816,0.795,0.752,0.710
"진해구",1.527,1.608,1.586,1.426,1.321,1.229,1.094,1.044,0.965
"의령군",1.602,1.317,1.198,1.376,1.180,0.975,1.044,0.932,1.019
"함안군",1.408,1.450,1.416,1.210,1.012,1.058,0.806,0.717,0.702
"창녕군",1.400,1.420,1.495,1.522,1.363,1.326,1.110,1.052,0.798
"고성군",1.392,1.307,1.208,1.057,1.068,0.869,0.825,0.790,0.661
"남해군",1.192,1.238,0.994,0.953,0.847,0.977,0.897,0.805,0.954
"하동군",1.218,1.341,1.269,1.083,1.119,1.273,1.049,1.129,0.874
"산청군",1.759,1.888,1.732,1.614,1.253,1.324,0.852,0.992,0.686
"함양군",1.429,1.404,1.221,1.124,1.071,1.030,0.861,0.886,0.682
"거창군",1.332,1.234,1.321,1.147,1.079,0.999,1.046,0.920,0.836
"합천군",1.116,0.980,1.106,0.839,0.935,1.110,0.927,0.805,1.011
"제주특별자치도",1.481,1.477,1.432,1.305,1.220,1.145,1.021,0.951,0.919
"제주시",1.522,1.494,1.435,1.301,1.264,1.150,1.035,0.969,0.926
"서귀포시",1.343,1.417,1.422,1.318,1.081,1.130,0.977,0.891,0.898
"북제주군",-,-,-,-,-,-,-,-,-
"남제주군",-,-,-,-,-,-,-,-,-
